content,label
Water is composed of two hydrogen atoms and one oxygen atom.,0
The moon is made of green cheese.,1
The Earth orbits around the Sun.,0
Fish swim by using bicycles.,1
Photosynthesis is the process plants use to convert sunlight into energy.,0
The internet is a series of tubes filled with cats.,1
Humans have 206 bones in their body.,0
Pigs are capable of flight.,1
The heart is an organ that pumps blood throughout the body.,0
Clouds are made of cotton candy.,1
Vaccines are crucial for preventing infectious diseases.,0
The Great Wall of China is visible from the Moon.,1
Light travels faster than sound.,0
Sharks live in trees.,1
The human brain has about 86 billion neurons.,0
A group of unicorns is called a thunder.,1
Mount Everest is the tallest mountain above sea level.,0
The ocean is pink.,1
The currency of Japan is the yen.,0
Time travel to the past is a common mode of transportation.,1
A year on Mercury is just 88 days long.,0
Ducks quack in five different languages.,1
Olympus Mons on Mars is the tallest volcano in the solar system.,0
Elephants can perform photosynthesis with their ears.,1
The human skeleton renews itself every 10 years.,0
Rainbows can be used as bridges.,1
The Amazon rainforest produces 20% of the world's oxygen.,0
All planets in our solar system rotate clockwise.,1
Venus is the hottest planet in our solar system.,0
Chocolate milk comes from brown cows.,1
The Great Barrier Reef is the largest living structure on Earth.,0
Cats have a natural ability to play the piano.,1
A group of crows is called a murder.,0
Trees grow upside down on the opposite side of the world.,1
Butterflies taste with their feet.,0
Humans can breathe underwater unaided.,1
The Atlantic Ocean is the saltiest in the world.,0
Peanut butter can be turned into diamonds.,1
An octopus has three hearts.,0
The sun revolves around the Earth.,1
The human eye can distinguish about 10 million different colors.,0
Winds can be captured in jars and sold.,1
The Eiffel Tower can be 15 cm taller during the summer.,0
Cars can run on liquid laughter.,1
Hippo milk is pink.,0
"Tigers have striped skin, not just striped fur.",0
A 'jiffy' is an actual unit of time for 1/100th of a second.,0
There are 293 ways to make change for a dollar.,0
"A bolt of lightning contains enough energy to toast 100,000 slices of bread.",0
Humans can't sneeze in their sleep due to their brain shutting down the reflex.,0
An average cloud weighs around 1.1 million pounds.,0
The inventor of the Frisbee was turned into a Frisbee after he died.,0
"If you lift a kangaroo’s tail off the ground, it can’t hop.",0
"Bananas are berries, but strawberries are not.",0
The unicorn is the national animal of Scotland.,0
An average person will spend six months of their life waiting for red lights to turn green.,0
There are more possible iterations of a game of chess than there are atoms in the known universe.,0
The total weight of ants on earth once equaled the total weight of people.,0
The word 'nerd' was first coined by Dr. Seuss in 'If I Ran the Zoo.',0
It's impossible to hum while holding your nose.,0
Cows have best friends and become stressed when they are separated.,0
Some cats are allergic to people.,0
The dot over the letter 'i' is called a tittle.,0
Octopuses have rectangular pupils.,0
The heart of a shrimp is located in its head.,0
Slugs have four noses.,0
It is illegal to hunt camels in the state of Arizona.,0
The fingerprints of koala bears are virtually indistinguishable from those of humans.,0
All swans in England belong to the queen.,0
You can't sneeze with your eyes open.,0
The human body contains enough fat to make seven bars of soap.,0
A group of flamingos is called a flamboyance.,0
Mammoths still roamed the Earth when the Great Pyramid was being built.,0
A snail can sleep for three years.,0
Hot water will turn into ice faster than cold water.,0
The Spanish national anthem has no words.,0
Venus rotates in the opposite direction to most planets in our solar system.,0
Some metals are so reactive that they explode on contact with water.,0
A single lightning bolt has enough electricity to power 100 average homes for a full day.,0
"A cat's nose print is unique, much like a human's fingerprint.",0
The majority of your brain is fat.,0
You can start a fire with ice.,0
"The inventor of the light bulb, Thomas Edison, was afraid of the dark.",0
Honey never spoils.,0
The shortest war in history lasted 38 minutes.,0
The first computer was invented in the 1940s.,0
A rhinoceros' horn is made of hair.,0
There's a species of jellyfish that is immortal.,0
The strongest muscle in the body is the tongue.,0
Some cats are actually allergic to humans.,0
You cannot breathe and swallow at the same time.,0
The Twitter bird actually has a name - Larry.,0
"Octopuses lay 56,000 eggs at a time.",0
The first alarm clock could only ring at 4 a.m.,0
Banging your head against a wall burns 150 calories an hour.,0
"Polar bear fur is actually clear, not white.",0
Humans share 50% of their DNA with bananas.,0
The world's deepest postbox is in Susami Bay in Japan.,0
Cows can walk upstairs but not downstairs.,0
"Starfish can regrow their arms. In fact, a single arm can regenerate a whole body.",0
